Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Port Kembla,-34.47718852,150.9028567
Port Kembla North,-34.47312925,150.8870415
Punchbowl,-33.92525226,151.0555798
Pymble,-33.74498339,151.1421989
Pyrmont Bay LR,-33.86953485,151.197708
Quakers Hill,-33.72721417,150.8858872
QVB LR,-33.87157838,151.2068633
Randwick LR,-33.91719767,151.2410526
Redfern,-33.8920298,151.1995113
Regents Park,-33.8833513,151.0241784
Revesby,-33.95273626,151.0152327
Rhodes,-33.83064015,151.0868216
Richmond,-33.59877109,150.7523098
Riverstone,-33.67985685,150.8605208
Riverwood,-33.95160087,151.0525497
Rockdale,-33.9523035,151.1369871
Rooty Hill,-33.77201339,150.844247
Rosehill,-33.82308432,151.0218152
Roseville,-33.78434859,151.1778664
Rouse Hill,-33.69154816,150.9239461
Royal Randwick LR,-33.90508663,151.2283727
Rozelle Bay LR,-33.8717488,151.1728699
Rydalmere,-33.81015641,151.0294797
Sandgate,-32.87279417,151.7028016
Scarborough,-34.26551615,150.9651941
Schofields,-33.70418713,150.8739328
Scone,-32.04670656,150.8670728
Sefton,-33.88516069,151.0116714
Seven Hills,-33.77407161,150.9360893
Shellharbour,-34.59128718,150.8446519
Singleton,-32.57183342,151.1654861
Springwood,-33.69918984,150.5636973
St James,-33.87003326,151.2112893
St Leonards,-33.82222391,151.1947607
St Marys,-33.76231824,150.774872
St Peters,-33.90694267,151.1806495
Stanmore,-33.89467603,151.1641571
Stanwell Park,-34.22618328,150.9812344
Strathfield,-33.87134403,151.0944811
Summer Hill,-33.89044157,151.1386413
Surry Hills LR,-33.88764807,151.2109881
Sutherland,-34.0315567,151.0573425
Sydenham,-33.91491191,151.1661011
Tahmoor,-34.22358755,150.5902412
Tallawong,-33.69163014,150.9060224
Tallong,-34.71837568,150.0860928
Tarro,-32.80889516,151.6693728
Tascott,-33.45094989,151.3183448
Taverners Hill LR,-33.8895669,151.145176
Telarah,-32.72323179,151.5398951
Telopea,-33.79402152,151.0412637
Tempe,-33.92358032,151.1564713
Teralba,-32.962727,151.6039263
The Star LR,-33.8672709,151.1957096
Thirroul,-34.31788392,150.918865
Thornleigh,-33.73207901,151.0783738
Thornton,-32.78356119,151.6399551
Toongabbie,-33.78714281,150.9511669
Town Hall,-33.87416617,151.2066678,
Town Hall LR,-33.87386266,151.2067752
Towradgi,-34.38412652,150.9013586
Tuggerah,-33.3077456,151.4204201
Turramurra,-33.73258953,151.1290978
Turrella,-33.92977422,151.1404283
Unanderra,-34.45480327,150.8454954
UNSW LR,-33.91638284,151.2360806
Valley Heights,-33.70414867,150.5836892
Victoria Street,-32.75096544,151.5941378
Villawood,-33.88092102,150.9773626
Vineyard,-33.65018802,150.851063
Wahroonga,-33.71800187,151.1175185
Waitara,-33.71028639,151.105246
Wallarobba,-32.49615032,151.6956921
Wansey LR,-33.91105413,151.2355339
Warabrook,-32.88848678,151.709521
Waratah,-32.902354,151.7310238
Waratah Mills LR,-33.8988126,151.1398647
Warnervale,-33.2473843,151.4491366
Warrawee,-33.72439373,151.1220398
Warrimoo,-33.72132609,150.6029511
Warwick Farm,-33.91347354,150.9349611
Waterfall,-34.13517267,150.994605
Waverton,-33.83756728,151.1974683
Wentworth Falls,-33.70952535,150.3761198
Wentworth Park LR,-33.87506758,151.1935385
Wentworthville,-33.80725292,150.972304
